xxxx-yyyy-zzzzzz-01010101111
Date,VisiToronto Raptors,VisiToronto RaptorsPts,Home,HomePts
10/30/2013,Memphis Grizzlies,85,Chicago Bulls,77
10/30/2013,Portland Trail Blazers,98,Dallas Mavericks,103
10/30/2013,Los Angeles Lakers,126,Denver Nuggets,134
10/30/2013,Atlanta Hawks,97,Golden State Warriors,111
10/30/2013,Indiana Pacers,86,Houston Rockets,112
10/30/2013,Detroit Pistons,101,Minnesota Timberwolves,114
10/30/2013,Milwaukee Bucks,104,New Orleans Pelicans,112
10/30/2013,Utah Jazz,81,New York Knicks,108
10/30/2013,Sacramento Kings,87,Toronto Raptors,99
10/30/2013,New York Knicks,107,Cleveland Cavaliers,97
10/30/2013,Atlanta Hawks,108,Los Angeles Clippers,109
10/30/2013,Charlotte Bobcats,89,Memphis Grizzlies,111
10/30/2013,Washington Wizards,114,Milwaukee Bucks,107
10/30/2013,Utah Jazz,104,Philadelphia 76ers,92
10/30/2013,Orlando Magic,112,San Antonio Spurs,121
10/30/2013,Detroit Pistons,111,Boston Celtics,118
10/30/2013,Sacramento Kings,89,Brooklyn Nets,104
10/30/2013,Miami Heat,88,Chicago Bulls,95
10/30/2013,Indiana Pacers,94,Dallas Mavericks,105
10/30/2013,Phoenix Suns,107,Golden State Warriors,113
10/30/2013,Portland Trail Blazers,113,Houston Rockets,118
10/30/2013,Oklahoma City Thunder,110,Los Angeles Lakers,114
10/30/2013,Toronto Raptors,111,Minnesota Timberwolves,104
10/30/2013,Denver Nuggets,107,New Orleans Pelicans,111
10/30/2013,Toronto Raptors,97,Brooklyn Nets,101
10/30/2013,Denver Nuggets,98,Charlotte Bobcats,105
10/30/2013,Phoenix Suns,105,Los Angeles Clippers,112
10/30/2013,Washington Wizards,90,Miami Heat,99
10/30/2013,Orlando Magic,98,Milwaukee Bucks,105
10/30/2013,Philadelphia 76ers,110,New York Knicks,123
10/30/2013,Atlanta Hawks,112,Utah Jazz,110
10/30/2013,San Antonio Spurs,104,Chicago Bulls,96
10/30/2013,Sacramento Kings,89,Detroit Pistons,99
10/30/2013,Dallas Mavericks,85,Golden State Warriors,108
10/30/2013,Boston Celtics,83,Indiana Pacers,94
10/30/2013,Portland Trail Blazers,99,Memphis Grizzlies,109
10/30/2013,Milwaukee Bucks,101,Minnesota Timberwolves,112
10/30/2013,Houston Rockets,98,Oklahoma City Thunder,106
10/30/2013,New York Knicks,116,Boston Celtics,92
10/30/2013,Golden State Warriors,98,Los Angeles Clippers,111
10/30/2013,Brooklyn Nets,96,Miami Heat,95
10/30/2013,Memphis Grizzlies,90,New Orleans Pelicans,88
10/30/2013,Denver Nuggets,120,Orlando Magic,112
10/30/2013,Sacramento Kings,115,Philadelphia 76ers,98
10/30/2013,Cleveland Cavaliers,110,Phoenix Suns,101
10/30/2013,Portland Trail Blazers,90,San Antonio Spurs,103
10/30/2013,Detroit Pistons,87,Toronto Raptors,101
10/30/2013,Dallas Mavericks,108,Utah Jazz,101
10/30/2013,Charlotte Bobcats,98,Washington Wizards,85
10/30/2013,Milwaukee Bucks,97,Atlanta Hawks,102
10/30/2013,Houston Rockets,87,Chicago Bulls,111
10/30/2013,Los Angeles Lakers,102,Oklahoma City Thunder,131
10/30/2013,Phoenix Suns,87,Boston Celtics,80
10/30/2013,Minnesota Timberwolves,93,Charlotte Bobcats,105
10/30/2013,Cleveland Cavaliers,103,Golden State Warriors,94
10/30/2013,Denver Nuggets,111,Miami Heat,107
10/30/2013,Portland Trail Blazers,111,New Orleans Pelicans,103
10/30/2013,Washington Wizards,105,Orlando Magic,101
10/30/2013,Indiana Pacers,101,Philadelphia 76ers,94
10/30/2013,Los Angeles Lakers,85,San Antonio Spurs,119
10/30/2013,Memphis Grizzlies,86,Toronto Raptors,99
10/30/2013,Los Angeles Clippers,96,Utah Jazz,87
10/30/2013,Denver Nuggets,92,Atlanta Hawks,97
10/30/2013,Sacramento Kings,87,Chicago Bulls,94
10/30/2013,Indiana Pacers,112,Detroit Pistons,104
10/30/2013,Milwaukee Bucks,94,New York Knicks,115
10/30/2013,Memphis Grizzlies,103,Philadelphia 76ers,77
10/30/2013,Brooklyn Nets,94,Washington Wizards,101
10/30/2013,Cleveland Cavaliers,80,Los Angeles Clippers,102
10/30/2013,Houston Rockets,104,Miami Heat,113
10/30/2013,Charlotte Bobcats,101,Milwaukee Bucks,92
10/30/2013,Sacramento Kings,102,Minnesota Timberwolves,104
10/30/2013,Boston Celtics,120,New Orleans Pelicans,121
10/30/2013,Dallas Mavericks,109,Oklahoma City Thunder,86
10/30/2013,Golden State Warriors,113,Portland Trail Blazers,112
10/30/2013,Utah Jazz,104,San Antonio Spurs,122
10/30/2013,Phoenix Suns,121,Toronto Raptors,113
10/30/2013,Phoenix Suns,95,Brooklyn Nets,108
10/30/2013,Atlanta Hawks,97,Charlotte Bobcats,83
10/30/2013,Oklahoma City Thunder,97,Chicago Bulls,85
10/30/2013,Boston Celtics,89,Dallas Mavericks,94
10/30/2013,Los Angeles Clippers,100,Denver Nuggets,110
10/30/2013,Utah Jazz,86,Houston Rockets,124
10/30/2013,Philadelphia 76ers,90,Indiana Pacers,99
10/30/2013,Toronto Raptors,113,Atlanta Hawks,118
10/30/2013,Miami Heat,100,Cleveland Cavaliers,96
10/30/2013,Orlando Magic,89,Golden State Warriors,103
10/30/2013,Milwaukee Bucks,115,Portland Trail Blazers,120
10/30/2013,Washington Wizards,111,Sacramento Kings,117
10/30/2013,Miami Heat,96,Boston Celtics,101
10/30/2013,Charlotte Bobcats,99,Brooklyn Nets,104
10/30/2013,Minnesota Timberwolves,123,Dallas Mavericks,122
10/30/2013,Detroit Pistons,109,Denver Nuggets,118
10/30/2013,San Antonio Spurs,125,Los Angeles Lakers,109
10/30/2013,Utah Jazz,86,Memphis Grizzlies,96
10/30/2013,Toronto Raptors,107,New Orleans Pelicans,100
10/30/2013,Indiana Pacers,86,New York Knicks,92
10/30/2013,Chicago Bulls,102,Philadelphia 76ers,94
10/30/2013,Orlando Magic,93,Phoenix Suns,109
10/30/2013,Oklahoma City Thunder,102,Cleveland Cavaliers,95
10/30/2013,Milwaukee Bucks,110,Golden State Warriors,115
10/30/2013,Minnesota Timberwolves,106,Houston Rockets,129
10/30/2013,Washington Wizards,103,Portland Trail Blazers,116
10/30/2013,New Orleans Pelicans,111,Atlanta Hawks,105
10/30/2013,Boston Celtics,98,Brooklyn Nets,114
10/30/2013,Denver Nuggets,106,Dallas Mavericks,122
10/30/2013,Chicago Bulls,79,Indiana Pacers,91
10/30/2013,Washington Wizards,117,Los Angeles Lakers,107
10/30/2013,Memphis Grizzlies,86,Miami Heat,91
10/30/2013,New York Knicks,93,Philadelphia 76ers,92
10/30/2013,Detroit Pistons,92,Phoenix Suns,98
10/30/2013,San Antonio Spurs,99,Sacramento Kings,79
10/30/2013,Oklahoma City Thunder,119,Toronto Raptors,118
10/30/2013,Portland Trail Blazers,94,Charlotte Bobcats,124
10/30/2013,Philadelphia 76ers,81,Chicago Bulls,91
10/30/2013,Houston Rockets,118,Cleveland Cavaliers,111
10/30/2013,San Antonio Spurs,99,Golden State Warriors,90
10/30/2013,Detroit Pistons,103,Los Angeles Clippers,112
10/30/2013,Indiana Pacers,71,Memphis Grizzlies,82
10/30/2013,Miami Heat,95,New Orleans Pelicans,105
10/30/2013,Orlando Magic,88,Utah Jazz,89
10/30/2013,Brooklyn Nets,107,Dallas Mavericks,104
10/30/2013,Washington Wizards,102,Denver Nuggets,105
10/30/2013,Orlando Magic,94,Los Angeles Lakers,103
10/30/2013,Phoenix Suns,127,Minnesota Timberwolves,120
10/30/2013,Cleveland Cavaliers,106,New York Knicks,100
10/30/2013,Milwaukee Bucks,107,Sacramento Kings,124
10/30/2013,Atlanta Hawks,86,Toronto Raptors,96
10/30/2013,Phoenix Suns,102,Atlanta Hawks,95
10/30/2013,Houston Rockets,100,Charlotte Bobcats,89
10/30/2013,Indiana Pacers,77,Chicago Bulls,89
10/30/2013,Milwaukee Bucks,98,Los Angeles Clippers,106
10/30/2013,Minnesota Timberwolves,92,Memphis Grizzlies,109
10/30/2013,Portland Trail Blazers,91,Miami Heat,93
10/30/2013,Brooklyn Nets,104,New Orleans Pelicans,109
10/30/2013,Denver Nuggets,96,Oklahoma City Thunder,117
10/30/2013,Philadelphia 76ers,91,San Antonio Spurs,113
10/30/2013,Detroit Pistons,114,Utah Jazz,94
10/30/2013,Toronto Raptors,100,Cleveland Cavaliers,102
10/30/2013,Oklahoma City Thunder,119,Dallas Mavericks,128
10/30/2013,New York Knicks,96,Los Angeles Lakers,127
10/30/2013,Portland Trail Blazers,85,Orlando Magic,95
10/30/2013,Toronto Raptors,99,Boston Celtics,90
10/30/2013,Brooklyn Nets,111,Charlotte Bobcats,116
10/30/2013,Cleveland Cavaliers,97,Detroit Pistons,96
10/30/2013,Miami Heat,83,Indiana Pacers,84
10/30/2013,Atlanta Hawks,83,Minnesota Timberwolves,107
10/30/2013,Los Angeles Clippers,96,New Orleans Pelicans,98
10/30/2013,New York Knicks,107,Sacramento Kings,99
10/30/2013,Denver Nuggets,103,San Antonio Spurs,108
10/30/2013,Memphis Grizzlies,91,Utah Jazz,87
10/30/2013,Phoenix Suns,99,Washington Wizards,93
10/30/2013,Portland Trail Blazers,100,Atlanta Hawks,85
10/30/2013,Los Angeles Clippers,109,Dallas Mavericks,103
10/30/2013,Philadelphia 76ers,98,Houston Rockets,120
10/30/2013,Los Angeles Lakers,105,Milwaukee Bucks,108
10/30/2013,Cleveland Cavaliers,97,Brooklyn Nets,108
10/30/2013,Portland Trail Blazers,91,Chicago Bulls,74
10/30/2013,San Antonio Spurs,133,Denver Nuggets,102
10/30/2013,Miami Heat,110,Detroit Pistons,78
10/30/2013,Memphis Grizzlies,93,Golden State Warriors,100
10/30/2013,Los Angeles Lakers,107,Minnesota Timberwolves,143
10/30/2013,Utah Jazz,95,New Orleans Pelicans,102
10/30/2013,Sacramento Kings,81,Oklahoma City Thunder,94
10/30/2013,Charlotte Bobcats,105,Orlando Magic,110
10/30/2013,New York Knicks,88,Phoenix Suns,112
10/30/2013,Boston Celtics,103,Toronto Raptors,105
10/30/2013,Indiana Pacers,78,Washington Wizards,91
10/30/2013,Sacramento Kings,100,Dallas Mavericks,103
10/30/2013,Los Angeles Clippers,118,Houston Rockets,107
10/30/2013,Miami Heat,88,Milwaukee Bucks,67
10/30/2013,Detroit Pistons,98,Philadelphia 76ers,123
10/30/2013,New Orleans Pelicans,80,San Antonio Spurs,96
10/30/2013,Atlanta Hawks,97,Washington Wizards,101
10/30/2013,Chicago Bulls,107,Boston Celtics,102
10/30/2013,Minnesota Timberwolves,99,Brooklyn Nets,114
10/30/2013,Indiana Pacers,76,Cleveland Cavaliers,90
10/30/2013,New York Knicks,89,Golden State Warriors,84
10/30/2013,Phoenix Suns,99,Los Angeles Lakers,115
10/30/2013,Utah Jazz,96,Oklahoma City Thunder,116
10/30/2013,Toronto Raptors,98,Orlando Magic,93
10/30/2013,Memphis Grizzlies,98,Portland Trail Blazers,105
10/30/2013,Philadelphia 76ers,95,Atlanta Hawks,103
10/30/2013,Washington Wizards,94,Charlotte Bobcats,100
10/30/2013,Boston Celtics,80,Chicago Bulls,94
10/30/2013,Memphis Grizzlies,94,Denver Nuggets,92
10/30/2013,Milwaukee Bucks,111,Detroit Pistons,116
10/30/2013,San Antonio Spurs,103,Indiana Pacers,77
10/30/2013,Toronto Raptors,83,Miami Heat,93
10/30/2013,Los Angeles Clippers,114,Minnesota Timberwolves,104
10/30/2013,Sacramento Kings,102,New Orleans Pelicans,97
10/30/2013,New York Knicks,92,Utah Jazz,83
10/30/2013,Houston Rockets,96,Brooklyn Nets,105
10/30/2013,Golden State Warriors,122,Dallas Mavericks,120
10/30/2013,Portland Trail Blazers,124,Los Angeles Lakers,112
10/30/2013,Chicago Bulls,105,Atlanta Hawks,92
10/30/2013,New Orleans Pelicans,107,Denver Nuggets,137
10/30/2013,Detroit Pistons,94,Indiana Pacers,101
10/30/2013,Milwaukee Bucks,77,Miami Heat,96
10/30/2013,Memphis Grizzlies,88,Minnesota Timberwolves,102
10/30/2013,Brooklyn Nets,81,New York Knicks,110
10/30/2013,Cleveland Cavaliers,119,Orlando Magic,98
10/30/2013,Charlotte Bobcats,123,Philadelphia 76ers,93
10/30/2013,Los Angeles Clippers,112,Phoenix Suns,108
10/30/2013,Los Angeles Lakers,102,Sacramento Kings,107
10/30/2013,Golden State Warriors,90,San Antonio Spurs,111
10/30/2013,Houston Rockets,103,Toronto Raptors,107
10/30/2013,Boston Celtics,92,Washington Wizards,118
10/30/2013,Dallas Mavericks,113,Los Angeles Clippers,107
10/30/2013,San Antonio Spurs,94,Oklahoma City Thunder,106
10/30/2013,Cleveland Cavaliers,98,Atlanta Hawks,117
10/30/2013,Philadelphia 76ers,111,Boston Celtics,102
10/30/2013,Detroit Pistons,104,Brooklyn Nets,116
10/30/2013,Orlando Magic,80,Charlotte Bobcats,91
10/30/2013,Milwaukee Bucks,90,Chicago Bulls,102
10/30/2013,Sacramento Kings,69,Golden State Warriors,102
10/30/2013,Oklahoma City Thunder,107,Houston Rockets,111
10/30/2013,Dallas Mavericks,107,Los Angeles Lakers,95
10/30/2013,Denver Nuggets,92,Memphis Grizzlies,100
10/30/2013,Minnesota Timberwolves,122,Miami Heat,121
10/30/2013,Washington Wizards,90,New York Knicks,89
10/30/2013,Phoenix Suns,109,Portland Trail Blazers,93
10/30/2013,Indiana Pacers,94,Toronto Raptors,102
10/30/2013,New Orleans Pelicans,96,Utah Jazz,100
10/30/2013,Charlotte Bobcats,96,Cleveland Cavaliers,94
10/30/2013,Boston Celtics,111,Detroit Pistons,115
10/30/2013,Toronto Raptors,102,Milwaukee Bucks,98
10/30/2013,Minnesota Timberwolves,92,Orlando Magic,100
10/30/2013,Brooklyn Nets,105,Philadelphia 76ers,101
10/30/2013,Chicago Bulls,96,Washington Wizards,78
10/30/2013,Utah Jazz,102,Golden State Warriors,130
10/30/2013,Denver Nuggets,125,Houston Rockets,130
10/30/2013,Atlanta Hawks,107,Indiana Pacers,88
10/30/2013,Los Angeles Lakers,97,Los Angeles Clippers,120
10/30/2013,New York Knicks,91,Miami Heat,102
10/30/2013,Oklahoma City Thunder,115,Phoenix Suns,122
10/30/2013,New Orleans Pelicans,94,Portland Trail Blazers,100
10/30/2013,Dallas Mavericks,93,Sacramento Kings,91
10/30/2013,Memphis Grizzlies,92,San Antonio Spurs,112
10/30/2013,Detroit Pistons,102,Atlanta Hawks,95
10/30/2013,Houston Rockets,145,Los Angeles Lakers,130
10/30/2013,Brooklyn Nets,88,Miami Heat,87
10/30/2013,San Antonio Spurs,91,Minnesota Timberwolves,110
10/30/2013,Oklahoma City Thunder,107,Sacramento Kings,92
10/30/2013,Dallas Mavericks,95,Utah Jazz,83
10/30/2013,Boston Celtics,97,Atlanta Hawks,105
10/30/2013,Detroit Pistons,100,Cleveland Cavaliers,122
10/30/2013,Houston Rockets,116,Denver Nuggets,123
10/30/2013,Oklahoma City Thunder,107,Los Angeles Clippers,101
10/30/2013,Miami Heat,102,Memphis Grizzlies,107
10/30/2013,Indiana Pacers,104,Milwaukee Bucks,102
10/30/2013,Chicago Bulls,102,Minnesota Timberwolves,87
10/30/2013,Phoenix Suns,94,New Orleans Pelicans,88
10/30/2013,Brooklyn Nets,111,Orlando Magic,115
10/30/2013,Sacramento Kings,99,Portland Trail Blazers,100
10/30/2013,Philadelphia 76ers,114,Toronto Raptors,125
10/30/2013,Charlotte Bobcats,94,Washington Wizards,88
10/30/2013,San Antonio Spurs,109,Dallas Mavericks,100
10/30/2013,Denver Nuggets,100,Golden State Warriors,99
10/30/2013,Charlotte Bobcats,103,Boston Celtics,106
10/30/2013,Atlanta Hawks,93,Brooklyn Nets,88
10/30/2013,Detroit Pistons,98,Chicago Bulls,106
10/30/2013,Golden State Warriors,112,Los Angeles Lakers,95
10/30/2013,Philadelphia 76ers,95,Memphis Grizzlies,117
10/30/2013,Indiana Pacers,86,Miami Heat,98
10/30/2013,Cleveland Cavaliers,116,Milwaukee Bucks,119
10/30/2013,Houston Rockets,110,Minnesota Timberwolves,112
10/30/2013,New Orleans Pelicans,94,Oklahoma City Thunder,116
10/30/2013,Washington Wizards,96,Orlando Magic,86
10/30/2013,Phoenix Suns,104,San Antonio Spurs,112
10/30/2013,New York Knicks,108,Toronto Raptors,100
10/30/2013,Portland Trail Blazers,111,Utah Jazz,99
10/30/2013,Miami Heat,85,Atlanta Hawks,98
10/30/2013,Philadelphia 76ers,105,Charlotte Bobcats,111
10/30/2013,Boston Celtics,111,Cleveland Cavaliers,99
10/30/2013,Phoenix Suns,98,Dallas Mavericks,101
10/30/2013,Utah Jazz,94,Denver Nuggets,101
10/30/2013,New Orleans Pelicans,104,Houston Rockets,111
10/30/2013,Sacramento Kings,101,Los Angeles Clippers,117
10/30/2013,Milwaukee Bucks,91,Washington Wizards,104
10/30/2013,Orlando Magic,88,Brooklyn Nets,97
10/30/2013,Toronto Raptors,116,Detroit Pistons,107
10/30/2013,Oklahoma City Thunder,97,Indiana Pacers,102
10/30/2013,Memphis Grizzlies,102,Los Angeles Lakers,90
10/30/2013,Chicago Bulls,89,New York Knicks,100
10/30/2013,Golden State Warriors,117,Portland Trail Blazers,119
10/30/2013,Minnesota Timberwolves,103,Sacramento Kings,106
10/30/2013,Charlotte Bobcats,95,Atlanta Hawks,93
10/30/2013,Orlando Magic,95,Chicago Bulls,108
10/30/2013,Minnesota Timberwolves,120,Golden State Warriors,130
10/30/2013,San Antonio Spurs,98,Houston Rockets,104
10/30/2013,Oklahoma City Thunder,89,New Orleans Pelicans,101
10/30/2013,Boston Celtics,108,Philadelphia 76ers,113
10/30/2013,Memphis Grizzlies,97,Phoenix Suns,91
10/30/2013,Milwaukee Bucks,100,Toronto Raptors,110
10/30/2013,Los Angeles Lakers,119,Utah Jazz,104
10/30/2013,Miami Heat,93,Washington Wizards,114
10/30/2013,New York Knicks,109,Brooklyn Nets,98
10/30/2013,Denver Nuggets,105,Los Angeles Clippers,117
10/30/2013,Washington Wizards,118,Boston Celtics,102
10/30/2013,Chicago Bulls,86,Charlotte Bobcats,91
10/30/2013,Brooklyn Nets,85,Cleveland Cavaliers,114
10/30/2013,Golden State Warriors,116,Denver Nuggets,112
10/30/2013,Dallas Mavericks,105,Memphis Grizzlies,106
10/30/2013,Philadelphia 76ers,100,Miami Heat,87
10/30/2013,Atlanta Hawks,111,Milwaukee Bucks,103
10/30/2013,Utah Jazz,136,Minnesota Timberwolves,130
10/30/2013,Houston Rockets,100,New Orleans Pelicans,105
10/30/2013,Toronto Raptors,92,New York Knicks,95
10/30/2013,Detroit Pistons,111,Oklahoma City Thunder,112
10/30/2013,Indiana Pacers,101,Orlando Magic,86
10/30/2013,Los Angeles Clippers,104,Portland Trail Blazers,110
10/30/2013,Phoenix Suns,104,Sacramento Kings,99
10/30/2013,Los Angeles Lakers,113,San Antonio Spurs,100
